playlist_key,playlist_id,playlist_name,csv_file
80s-rap-hip-hop-new-jack-v2,2vCiOHJhbjasHeZGioitb1,80s Rap Hip-Hop & New Jack | The Sony Walkman Session
loud-deep-bass,6APMKy0l9Yhf8GQY0g2s2X,Loud Deep Bass | The Sony Walkman Session
new-jack-club-rnb,6bemyOczTcY8wNcTMu2Nse,New Jack Club R&B | The Sony Walkman Session
desert-cruising,5KbzaebrAZmmXEJXng9OtD,Desert Cruising | The Sony Walkman Session
90s-alt-punch,69g22DlIOUA8oLs5pMGHCT,90s Alt Punch | The Sony Walkman Session
country-roads-rodeo,29ZaQhU5dMv7CtOVO3DIT7,Country Roads Rodeo | The Sony Walkman Session
sony-walkman-sessions-class-of-89,5NB6dJOkrwLN2ATwKLitEJ,Class of ’89 | The Sony Walkman Session
garage-days-maiden-nights,4ryVp5B4wkkRbSEC80fz12,Garage Days & Maiden Nights | The Sony Walkman Session
shit-my-wife-likes,33abpoX9QnLJMp1VRLT5Go,Shit My Wife Likes | The Sony Walkman Session
caribbean-island-vibes,1S9XMUHp0IIWUiKdKjNccf,Caribbean Island Vibes | The Sony Walkman Session
roq-of-the-80s,1RCKX5JlZW5S6lDj315lMj,ROQ Of The 80's | The Sony Walkman Session
open-road-anthems,6GfOljTPLPXFWTnsjT7kBP,Open Road Anthems | The Sony Walkman Session
beatles-across-the-universe,4xfibc2QCyTkGTXe6SHdvg,Beatles Across The Universe | The Sony Walkman Session
hair-metal,4cT7P4FoqzMpkBAGX1adto,Arena Rock & Hair Metal | The Sony Walkman Session,playlists/hair_metal_master_database.csv
funk-metal-groove-rock,6KENws5HBkA6NKQeSJqBr8,Funk Metal Groove Rock | The Sony Walkman Session
jimmy-buffett-boat-drinks,18q9Ulep7IKQU8jHfS1B9E,Jimmy Buffett Boat Drinks | The Sony Walkman Session
lake-day,2tVAVVrrCfwPbK69i4uLTW,Lake Day | The Sony Walkman Session
90s-club-music,10C0rvK2e0tnx1A4W0Se1O,90s Club Music | The Sony Walkman Session
ac-dc-sony-walkman-session,4PO7uH90SqOfKH5lnt2xDx,AC/DC | The Sony Walkman Session
clothing-optional,0o7u8ljsxWEa1xIB1eEouL,Clothing Optional | The Sony Walkman Sessions,
horsepower-hertz-bad-decisions,,Horsepower Hertz & Bad Decisions | The Sony Walkman Session,playlists/horsepower_hertz_bad_decisions.csv
